Date&Time,TEMP,HUMI,CO2,STEMP,SWAT,SEC,PPF
05/10/2023 17:00,27.6,37,407,25.9,0,0,407
05/10/2023 18:00,26.2,36,407,23.1,0,0,101
05/10/2023 19:00,22.3,40,415,18.9,0,0,6
05/10/2023 20:00,18.9,53,425,16.2,0,0,0
05/10/2023 21:00,17.5,56,412,15.1,0,0,0
05/10/2023 22:00,16.3,63,426,14,0,0,0
05/10/2023 23:00,16.1,67,431,13.8,0,0,0
05/11/2023 0:00,15.6,69,446,13.4,0,0,0
05/11/2023 1:00,15,70,452,12.9,0,0,0
05/11/2023 2:00,13.8,71,437,11.4,0,0,0
05/11/2023 3:00,13,73,427,10.8,0,0,0
05/11/2023 4:00,12.7,72,430,10.4,0,0,0
05/11/2023 5:00,12.3,71,440,10.1,0,0,0
05/11/2023 6:00,12.3,72,449,10.1,0,0,25
05/11/2023 7:00,15.8,70,449,14.7,0,0,97
05/11/2023 8:00,19.9,53,414,17.5,0,0,179
05/11/2023 9:00,24.2,44,422,21.6,0,0,117
05/11/2023 10:00,28.3,34,411,24.8,0,0,187
05/11/2023 11:00,32.7,25,421,30.5,0,0,1165
05/11/2023 12:00,34.8,24,413,30.8,0,0,498
05/11/2023 13:00,36.8,16,419,33.3,0.1,0,1205
05/11/2023 14:00,33,20,411,30.1,0,0,234
05/11/2023 15:00,32.6,18,405,29.5,0,0,216
05/11/2023 16:00,31.2,23,417,28.6,0,0,101
05/11/2023 17:00,28.6,23,407,26.3,0,0,121
05/11/2023 18:00,27,29,420,24.3,0,0,26
05/11/2023 19:00,23.5,42,419,20.7,0,0,8
05/11/2023 20:00,20.7,45,412,18.4,0,0,0
05/11/2023 21:00,20,47,417,17.4,0,0,0
05/11/2023 22:00,18.9,53,447,16.8,0,0,0
05/11/2023 23:00,18.2,57,451,15.7,0,0,0
05/12/2023 0:00,15.9,65,458,13.5,0,0,0
05/12/2023 1:00,14.9,69,453,12.6,0,0,0
05/12/2023 2:00,14.1,70,443,11.8,0,0,0
05/12/2023 3:00,13.8,71,450,11.4,0,0,0
05/12/2023 4:00,13.7,71,448,11.3,0,0,0
05/12/2023 5:00,14.3,71,443,12.1,0,0,0
05/12/2023 6:00,15,70,441,12.9,0,0,18
05/12/2023 7:00,17.6,64,434,16,0,0,98
05/12/2023 8:00,21.9,50,430,20.5,0,0,244
05/12/2023 9:00,24.7,43,433,23,0,0,371
05/12/2023 10:00,28.4,37,425,25.8,0,0,547
05/12/2023 11:00,30.2,30,414,30.3,0,0,753
05/12/2023 12:00,28.3,33,423,25.8,0,0,192
05/12/2023 13:00,29.4,32,417,26.4,0,0,186
05/12/2023 14:00,28.7,29,406,26.5,0,0,135
05/12/2023 15:00,28.8,29,410,26.5,0,0,151
05/12/2023 16:00,28.5,27,404,26.1,2.4,0,281
05/12/2023 17:00,24.6,37,426,22,2.2,0,56
05/12/2023 18:00,22.7,42,413,20.1,2.1,0,15
05/12/2023 19:00,21.4,56,411,18.9,2.1,0,0
05/12/2023 20:00,20.7,63,422,18.4,2.1,0,0
05/12/2023 21:00,20.1,69,426,17.8,2.1,0,0
05/12/2023 22:00,19.6,72,438,17.2,2.1,0,0
05/12/2023 23:00,19.3,74,450,17,2.1,0,0
05/13/2023 0:00,18.8,75,449,16.7,2.1,0,0
05/13/2023 1:00,18.6,76,460,16.4,2.1,0,0
05/13/2023 2:00,18.3,76,465,16.2,2.1,0,0
05/13/2023 3:00,18.1,75,470,15.8,2.1,0,0
05/13/2023 4:00,16.9,74,477,14.5,2.1,0,0
05/13/2023 5:00,15.9,74,485,13.5,2,0,0
05/13/2023 6:00,15.4,73,490,13,2,0,14
05/13/2023 7:00,18,71,503,17.1,2.1,0,94
05/13/2023 8:00,21.4,54,433,19,2.1,0,149
05/13/2023 9:00,24.2,48,417,22.6,1.7,0,211
05/13/2023 10:00,28.2,38,419,28.6,1.3,0,889
05/13/2023 11:00,30.2,31,417,31.1,1.9,0,1075
05/13/2023 12:00,30.9,33,414,28.7,1.9,0,592
05/13/2023 13:00,30.9,33,408,28.7,1.8,0,453
05/13/2023 14:00,30.6,33,405,27.7,1.7,0,438
05/13/2023 15:00,31.5,34,408,30.7,1.2,0,912
05/13/2023 16:00,29.9,36,405,26.8,1.7,0,271
05/13/2023 17:00,27.7,40,402,25.1,1.6,0,165
05/13/2023 18:00,25.7,41,408,22.8,1.6,0,72
05/13/2023 19:00,22.6,46,399,20.1,1.6,0,0
05/13/2023 20:00,20.5,51,404,17.7,1.5,0,0
05/13/2023 21:00,18.8,57,390,16.4,1.5,0,0
05/13/2023 22:00,17.6,62,391,15.5,1.5,0,0
05/13/2023 23:00,16.7,66,418,14.6,1.5,0,0
05/14/2023 0:00,16,67,415,13.9,1.5,0,0
05/14/2023 1:00,15.1,70,426,13.2,1.5,0,0
05/14/2023 2:00,14.5,71,408,12.6,1.4,0,0
05/14/2023 3:00,14.2,72,414,12.3,1.4,0,0
05/14/2023 4:00,13.9,72,418,11.8,1.4,0,0
05/14/2023 5:00,13.2,73,416,11.1,1.4,0,0
05/14/2023 6:00,13.5,73,413,11.7,1.4,0,11
05/14/2023 7:00,16.7,68,405,15.5,1.5,0,50
05/14/2023 8:00,20.1,57,408,17.6,1.6,0,110
05/14/2023 9:00,22.8,49,407,20.8,1.6,0,193
05/14/2023 10:00,26.5,36,421,24.1,1.2,0,306
05/14/2023 11:00,30.1,32,423,32.4,1.7,0,1191
05/14/2023 12:00,32.6,22,417,30.8,1.4,0,367
05/14/2023 13:00,32.5,19,409,30.5,1.2,0,397
05/14/2023 14:00,32.9,20,410,29.8,1.1,0,370
05/14/2023 15:00,33.2,21,407,32.5,0.9,0,313
05/14/2023 16:00,31.8,25,409,28,1.1,0,253
05/14/2023 17:00,29.3,27,408,26.4,1.1,0,193
05/14/2023 18:00,26.8,29,407,23.9,1.5,0,64
05/14/2023 19:00,24.1,35,408,21.6,1.5,0,1
05/14/2023 20:00,20.7,48,415,18.2,1.4,0,0
05/14/2023 21:00,18.5,56,431,16.5,1.4,0,0
05/14/2023 22:00,17.6,60,433,15.6,1.3,0,0
05/14/2023 23:00,16.5,63,438,14.5,1.3,0,0
05/15/2023 0:00,15.6,66,446,13.6,1.3,0,0
05/15/2023 1:00,15,67,426,13.1,1.3,0,0
05/15/2023 2:00,14.3,68,421,12.3,1.3,0,0
05/15/2023 3:00,13.9,69,418,11.6,1.3,0,0
05/15/2023 4:00,13.8,69,423,11.5,1.3,0,0
05/15/2023 5:00,13.2,70,431,11,1.3,0,0
05/15/2023 6:00,13.8,71,437,12.2,1.3,0,16
05/15/2023 7:00,18.1,66,451,17.3,1.4,0,56
05/15/2023 8:00,22.5,45,410,20.8,1.5,0,170
05/15/2023 9:00,26.1,39,411,23.9,1.1,0,272
05/15/2023 10:00,29.6,27,407,28,0.9,0,381
05/15/2023 11:00,31.1,27,413,32.7,1.1,0,880
05/15/2023 12:00,33.1,26,411,30.5,1,0,383
05/15/2023 13:00,33.8,27,402,31.7,0.9,0,407
05/15/2023 14:00,35.1,28,413,33.3,0.9,0,370
05/15/2023 15:00,35.4,25,411,34,0.9,0,315
05/15/2023 16:00,34.7,26,411,31,0.9,0,251
05/15/2023 17:00,33.2,29,413,30,1,0,144
05/15/2023 18:00,30.2,37,417,27.1,1.1,0,44
05/15/2023 19:00,27.2,45,412,24.5,1.4,0,2
05/15/2023 20:00,24,57,423,21.6,1.5,0,0
05/15/2023 21:00,21.7,64,446,19.6,1.5,0,0
05/15/2023 22:00,20.6,66,452,18.4,1.5,0,0
05/15/2023 23:00,19.6,69,466,17.5,1.4,0,0
05/16/2023 0:00,19.1,71,461,17,1.4,0,0
05/16/2023 1:00,18.5,72,463,16.5,1.4,0,0
