Date&Time,inner_temp,inner_hum,inner_CO2,inner_PPF,out_radn_m,out_temp,out_wind,out_hum,out_radn_w
2023-05-10 17:00,27.6,37,407,407,1.74,23.1,3.4,47,483.3372
2023-05-10 18:00,26.2,36,407,101,0.96,21.5,2.9,44,266.6688
2023-05-10 19:00,22.3,40,415,6,0.29,19.6,1,43,80.5562
2023-05-10 20:00,18.9,53,425,0,0.01,18.2,2,46,2.7778
2023-05-10 21:00,17.5,56,412,0,0,17.2,2.7,54,0
2023-05-10 22:00,16.3,63,426,0,0,16.2,1.4,56,0
2023-05-10 23:00,16.1,67,431,0,0,15.9,0.5,61,0
2023-05-11 0:00,15.6,69,446,0,0,14.2,1.1,69,0
2023-05-11 1:00,15,70,452,0,0,13.4,1.6,72,0
2023-05-11 2:00,13.8,71,437,0,0,12.9,1,73,0
2023-05-11 3:00,13,73,427,0,0,12.4,1.7,76,0
2023-05-11 4:00,12.7,72,430,0,0,11.9,0.9,79,0
2023-05-11 5:00,12.3,71,440,0,0,11.3,1,80,0
2023-05-11 6:00,12.3,72,449,25,0.02,11.3,1.3,79,5.5556
2023-05-11 7:00,15.8,70,449,97,0.35,13.1,0.9,72,97.223
2023-05-11 8:00,19.9,53,414,179,0.99,15.9,1.2,61,275.0022
2023-05-11 9:00,24.2,44,422,117,1.71,19.5,0.7,52,475.0038
2023-05-11 10:00,28.3,34,411,187,2.34,21.2,1.3,48,650.0052
2023-05-11 11:00,32.7,25,421,1165,2.86,23.5,1.3,43,794.4508
2023-05-11 12:00,34.8,24,413,498,3.13,25.1,1.5,39,869.4514
2023-05-11 13:00,36.8,16,419,1205,3.24,26.2,1.9,30,900.0072
2023-05-11 14:00,33,20,411,234,3.08,26.1,3.4,23,855.5624
2023-05-11 15:00,32.6,18,405,216,2.84,26.5,2,25,788.8952
2023-05-11 16:00,31.2,23,417,101,2.1,26.4,3.2,30,583.338
2023-05-11 17:00,28.6,23,407,121,1.48,24.3,3.1,28,411.1144
2023-05-11 18:00,27,29,420,26,1.18,23.3,2.4,32,327.7804
2023-05-11 19:00,23.5,42,419,8,0.38,20.3,2.5,52,105.5564
2023-05-11 20:00,20.7,45,412,0,0.01,18.3,2.7,51,2.7778
2023-05-11 21:00,20,47,417,0,0,17.9,1.6,48,0
2023-05-11 22:00,18.9,53,447,0,0,18.4,1.1,45,0
2023-05-11 23:00,18.2,57,451,0,0,18.2,1.1,41,0
2023-05-12 0:00,15.9,65,458,0,0,16.3,0.9,57,0
2023-05-12 1:00,14.9,69,453,0,0,15.3,0.4,60,0
